model_name,display_name,threshold,val_accuracy,val_precision,val_recall_sensitivity,val_specificity,val_f1_score,val_roc_auc,val_TP,val_FP,val_TN,val_FN
mobilenetv2,MobileNetV2,0.54,0.8447712418300654,0.5483870967741935,0.6355140186915887,0.8891089108910891,0.5887445887445888,0.8654205607476634,68,56,449,39
mobilenetv2,MobileNetV2,0.55,0.8431372549019608,0.5447154471544715,0.6261682242990654,0.8891089108910891,0.5826086956521739,0.8654205607476634,67,56,449,40
mobilenetv2,MobileNetV2,0.56,0.8464052287581699,0.5546218487394958,0.616822429906542,0.8950495049504951,0.584070796460177,0.8654205607476634,66,53,452,41
mobilenetv2,MobileNetV2,0.57,0.8513071895424836,0.5714285714285714,0.5981308411214953,0.904950495049505,0.5844748858447488,0.8654205607476634,64,48,457,43
mobilenetv2,MobileNetV2,0.58,0.8578431372549019,0.5925925925925926,0.5981308411214953,0.9128712871287129,0.5953488372093023,0.8654205607476634,64,44,461,43
mobilenetv2,MobileNetV2,0.59,0.8611111111111112,0.6037735849056604,0.5981308411214953,0.9168316831683169,0.6009389671361502,0.8654205607476634,64,42,463,43
mobilenetv2,MobileNetV2,0.6,0.8643790849673203,0.6153846153846154,0.5981308411214953,0.9207920792079208,0.6066350710900474,0.8654205607476634,64,40,465,43
mobilenetv2,MobileNetV2,0.61,0.8611111111111112,0.61,0.5700934579439252,0.9227722772277228,0.5893719806763285,0.8654205607476634,61,39,466,46
mobilenetv2,MobileNetV2,0.62,0.8643790849673203,0.6224489795918368,0.5700934579439252,0.9267326732673268,0.5951219512195122,0.8654205607476634,61,37,468,46
mobilenetv2,MobileNetV2,0.63,0.869281045751634,0.6451612903225806,0.5607476635514018,0.9346534653465347,0.6,0.8654205607476634,60,33,472,47
mobilenetv2,MobileNetV2,0.64,0.869281045751634,0.6451612903225806,0.5607476635514018,0.9346534653465347,0.6,0.8654205607476634,60,33,472,47
mobilenetv2,MobileNetV2,0.65,0.869281045751634,0.6483516483516484,0.5514018691588785,0.9366336633663367,0.5959595959595959,0.8654205607476634,59,32,473,48
mobilenetv2,MobileNetV2,0.66,0.8741830065359477,0.6704545454545454,0.5514018691588785,0.9425742574257425,0.6051282051282051,0.8654205607476634,59,29,476,48
mobilenetv2,MobileNetV2,0.67,0.8741830065359477,0.6704545454545454,0.5514018691588785,0.9425742574257425,0.6051282051282051,0.8654205607476634,59,29,476,48
mobilenetv2,MobileNetV2,0.68,0.8741830065359477,0.6704545454545454,0.5514018691588785,0.9425742574257425,0.6051282051282051,0.8654205607476634,59,29,476,48
mobilenetv2,MobileNetV2,0.69,0.8774509803921569,0.686046511627907,0.5514018691588785,0.9465346534653465,0.6113989637305699,0.8654205607476634,59,27,478,48
mobilenetv2,MobileNetV2,0.7,0.8774509803921569,0.6904761904761905,0.5420560747663551,0.9485148514851485,0.6073298429319371,0.8654205607476634,58,26,479,49
mobilenetv2,MobileNetV2,0.71,0.8774509803921569,0.7,0.5233644859813084,0.9524752475247524,0.5989304812834224,0.8654205607476634,56,24,481,51
mobilenetv2,MobileNetV2,0.72,0.8758169934640523,0.6962025316455697,0.514018691588785,0.9524752475247524,0.5913978494623656,0.8654205607476634,55,24,481,52
mobilenetv2,MobileNetV2,0.73,0.8774509803921569,0.7051282051282052,0.514018691588785,0.9544554455445544,0.5945945945945946,0.8654205607476634,55,23,482,52
mobilenetv2,MobileNetV2,0.74,0.880718954248366,0.7236842105263158,0.514018691588785,0.9584158415841584,0.6010928961748634,0.8654205607476634,55,21,484,52
